Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,796,0,8,12.703173683417278,4.575653001666069,309.70181100019545,11277.0,1.0906524953359056,0.0,8,9,9,10,13,22,120,170,310,310,310
GET,/api/cart,2295,0,6,10.237024041386787,3.898733000823995,344.7682240002905,24.0,3.144532006025004,0.0,6,7,7,7,9,15,61,140,320,340,340
POST,/api/cart,4874,0,9,10.282782188983601,5.650471997796558,326.86213299894007,119.03857201477226,6.678191284255281,0.0,9,10,10,10,12,14,22,47,220,330,330
POST,/api/checkout,1615,0,46,289.1256447399196,25.161408997519175,9995.839368999441,1662.4792569659442,2.2128188190546325,0.0,46,57,81,140,520,1600,3200,4700,9500,10000,10000
GET,/api/data/,320,0,8,12.70787965312934,5.504584998561768,256.4898019991233,201.35625,0.4384532644566454,0.0,8,9,9,10,12,18,55,150,260,260,260
GET,/api/data/?contextKeys=accessories,363,0,9,12.699763561954256,5.4243320009845775,259.8932779983443,303.0,0.4973704218680072,0.0,9,9,10,10,12,19,57,140,260,260,260
GET,/api/data/?contextKeys=assembly,342,0,9,13.917225701871432,5.509164000613964,342.8653100017982,89.0,0.4685969263880398,0.0,9,9,9,10,13,26,79,190,340,340,340
GET,/api/data/?contextKeys=binoculars,396,0,8,15.186654704637183,5.619932000627159,320.12581000162754,83.0,0.5425859147650987,0.0,8,9,10,10,14,41,140,230,320,320,320
GET,/api/data/?contextKeys=books,340,0,9,15.292097055932091,5.792469000880374,366.81947100078105,200.43235294117648,0.46585659348518577,0.0,9,9,10,10,12,39,140,220,370,370,370
GET,/api/data/?contextKeys=telescopes,326,0,8,14.770531475470904,6.149431999801891,387.7706189996388,106.0,0.44667426316520753,0.0,8,9,9,10,12,34,76,210,390,390,390
GET,/api/data/?contextKeys=travel,360,0,9,15.714576872212799,5.756702998041874,284.79017399877193,129.0,0.4932599225137261,0.0,9,9,10,10,14,47,170,210,280,280,280
GET,/api/product-reviews/0PUK6V6EV0,158,0,27,39.52860321518114,21.824232999279047,268.0828910015407,988.0,0.21648629932546867,0.0,27,28,29,29,52,200,240,260,270,270,270
GET,/api/product-reviews/1YMWWN1N4O,143,0,27,32.47430403495276,21.78333000119892,205.64066800034198,1023.0,0.19593380255406342,0.0,27,28,28,30,38,49,160,170,210,210,210
GET,/api/product-reviews/2ZYFJ3GM2N,162,0,27,30.11380054338161,22.26217200040992,225.95149900007527,999.0,0.22196696513117675,0.0,27,28,28,29,35,42,52,160,230,230,230
GET,/api/product-reviews/66VCHSJNUP,148,0,27,30.95318645277124,21.685437997803092,256.20865899873024,997.0,0.20278463481119852,0.0,27,28,29,31,38,51,83,87,260,260,260
GET,/api/product-reviews/6E92ZMYYFZ,185,0,27,32.788854005402015,21.562530999290175,262.2903490009776,1026.0,0.25348079351399816,0.0,27,27,28,30,35,62,150,220,260,260,260
GET,/api/product-reviews/9SIQT8TOJO,171,0,27,34.909223093563924,21.851760999197722,221.81994000129635,1010.0,0.2342984631940199,0.0,27,28,29,30,40,100,160,200,220,220,220
GET,/api/product-reviews/HQTGWGPNH4,158,0,27,32.93284633550281,21.894469000471872,203.56574900142732,1031.0,0.21648629932546867,0.0,27,28,30,31,42,68,140,140,200,200,200
GET,/api/product-reviews/L9ECAV7KIM,171,0,27,33.92976485365952,22.075291999499314,231.24275300142472,943.0,0.2342984631940199,0.0,27,28,29,30,38,64,150,200,230,230,230
GET,/api/product-reviews/LS4PSXUNUM,176,0,26,33.54460267603992,21.234615000139456,255.13578599930042,1010.0,0.241149295451155,0.0,26,28,29,30,39,62,150,240,260,260,260
GET,/api/product-reviews/OLJCESPC7Z,165,0,27,33.736587206063135,21.624100001645274,246.48718800017377,1015.0,0.2260774644854578,0.0,27,28,29,30,40,72,130,170,250,250,250
GET,/api/products/0PUK6V6EV0,1232,0,7,10.793239232096713,3.7991810004314175,307.996285999252,421.0,1.688045068158085,0.0,7,7,7,8,9,18,65,130,310,310,310
GET,/api/products/1YMWWN1N4O,1221,0,7,11.409580379985961,3.9045909979904536,312.0810730033554,888.0,1.6729732371923878,0.0,7,7,7,8,9,18,97,180,300,310,310
GET,/api/products/2ZYFJ3GM2N,1233,0,7,11.370075665821409,3.4380260003672447,299.4913809998252,556.0,1.689415234609512,0.0,7,7,7,8,10,17,70,190,290,300,300
GET,/api/products/66VCHSJNUP,1290,0,7,11.95394588454193,3.903353001078358,279.69500299877836,494.0,1.7675147223408518,0.0,7,7,8,8,10,25,130,180,230,280,280
GET,/api/products/6E92ZMYYFZ,1295,0,7,11.768356511204388,3.7276810016919626,337.2277620001114,475.0,1.7743655545979868,0.0,7,7,7,8,9,24,110,190,280,340,340
GET,/api/products/9SIQT8TOJO,1277,0,7,11.542469523118196,3.830310999546782,309.7556259999692,778.0,1.7497025584723007,0.0,7,7,7,8,10,20,86,190,300,310,310
GET,/api/products/HQTGWGPNH4,1317,0,7,10.781082422156361,3.7379140012490097,309.5956719989772,739.0,1.8045092165293812,0.0,7,7,7,8,10,18,68,120,280,310,310
GET,/api/products/L9ECAV7KIM,1309,0,7,11.241716585121537,3.509606000079657,275.26467500138097,735.0,1.7935478849179651,0.0,7,7,7,8,10,16,120,170,280,280,280
GET,/api/products/LS4PSXUNUM,1216,0,7,12.049718732800772,3.7067499979457352,275.10405700013507,529.0,1.6661224049352525,0.0,7,7,8,8,10,21,110,160,270,280,280
GET,/api/products/OLJCESPC7Z,1248,0,7,10.453515003204162,3.7341139977797866,400.1214189993334,506.0,1.7099677313809172,0.0,7,7,8,8,9,16,54,120,300,400,400
GET,/api/recommendations?productIds=0PUK6V6EV0,243,0,27,34.76426518514597,16.531347999261925,253.03734599947347,2526.650205761317,0.33295044769676513,0.0,27,28,30,32,43,72,160,230,250,250,250
GET,/api/recommendations?productIds=1YMWWN1N4O,219,0,27,36.48695865754712,22.656959999949322,420.91497000001254,2341.497716894977,0.3000664528625167,0.0,27,29,31,33,42,63,170,240,420,420,420
GET,/api/recommendations?productIds=2ZYFJ3GM2N,227,0,27,32.89697831710548,15.154015000007348,235.88846799975727,2474.5022026431716,0.31102778447393287,0.0,27,29,30,31,39,57,110,160,240,240,240
GET,/api/recommendations?productIds=66VCHSJNUP,229,0,27,38.35986968124218,19.660953999846242,302.84670899709454,2519.7467248908297,0.3137681173767869,0.0,27,28,31,33,47,100,220,270,300,300,300
GET,/api/recommendations?productIds=6E92ZMYYFZ,244,0,27,36.209727881132345,21.858890999283176,360.1839119983197,2547.598360655738,0.33432061414819214,0.0,27,29,31,34,43,61,150,260,360,360,360
GET,/api/recommendations?productIds=9SIQT8TOJO,267,0,27,35.83056004115295,14.685110998470918,286.9792959991173,2389.3520599250937,0.36583444253101355,0.0,27,28,30,32,40,98,150,200,290,290,290
GET,/api/recommendations?productIds=HQTGWGPNH4,221,0,27,33.98573521261581,22.753871000531944,243.43564299852005,2400.705882352941,0.30280678576537073,0.0,27,28,30,32,39,57,140,150,240,240,240
