POD                                              NAME                      CPU(cores)   MEMORY(bytes)   
accounting-557bc57548-s58nn                      accounting                9m           182Mi           
ad-5cc6bb4459-5jklw                              ad                        2m           250Mi           
ad-5cc6bb4459-pbxzx                              ad                        1m           246Mi           
cart-95d67d4fb-48rdb                             cart                      2m           76Mi            
cart-95d67d4fb-z4r2t                             cart                      2m           76Mi            
checkout-68694bb9c-c7npl                         checkout                  3m           30Mi            
checkout-68694bb9c-kfflt                         checkout                  2m           14Mi            
checkout-68694bb9c-r95wc                         checkout                  3m           26Mi            
currency-789748bcd9-87cw7                        currency                  1m           8Mi             
currency-789748bcd9-wzskq                        currency                  1m           11Mi            
email-6855bfb778-f8cmx                           email                     1m           43Mi            
email-6855bfb778-qjdgk                           email                     1m           61Mi            
flagd-7d88655f44-n6lkw                           flagd                     3m           42Mi            
flagd-7d88655f44-n6lkw                           flagd-ui                  1m           138Mi           
fraud-detection-7c5b9c9756-ch87g                 fraud-detection           3m           266Mi           
frontend-5f9ddcb8fc-54npq                        frontend                  4m           107Mi           
frontend-5f9ddcb8fc-558tp                        frontend                  13m          91Mi            
frontend-5f9ddcb8fc-5vvxl                        frontend                  17m          83Mi            
frontend-proxy-6465545dbf-tn2xt                  frontend-proxy            6m           22Mi            
frontend-proxy-6465545dbf-vb7b9                  frontend-proxy            9m           22Mi            
grafana-756df586d5-lnmqr                         grafana                   15m          650Mi           
grafana-756df586d5-lnmqr                         grafana-sc-dashboard      1m           76Mi            
image-provider-757b7797cf-kmtbx                  image-provider            1m           9Mi             
image-provider-757b7797cf-qxmqm                  image-provider            1m           8Mi             
jaeger-7d5bbc694-wtmp9                           jaeger                    2m           418Mi           
llm-64ffcd6fb7-bfdvt                             llm                       9m           71Mi            
load-generator-88fd8896c-6flbf                   load-generator            4m           59Mi            
load-generator-worker-58589b7c6b-t5dtm           load-generator-worker     6m           70Mi            
load-generator-worker-58589b7c6b-z44z9           load-generator-worker     46m          68Mi            
metrics-server-56f6f67555-nd44f                  metrics-server            5m           26Mi            
opensearch-0                                     opensearch                28m          780Mi           
otel-collector-agent-4xbkd                       opentelemetry-collector   11m          99Mi            
otel-collector-agent-54tlj                       opentelemetry-collector   4m           112Mi           
otel-collector-agent-6d5v2                       opentelemetry-collector   3m           108Mi           
otel-collector-agent-nt8m5                       opentelemetry-collector   5m           92Mi            
otel-collector-agent-x7l6h                       opentelemetry-collector   6m           69Mi            
otel-collector-agent-xg9sv                       opentelemetry-collector   4m           116Mi           
otel-collector-agent-xzvjx                       opentelemetry-collector   4m           80Mi            
payment-c6dc7c75b-4gkdl                          payment                   4m           105Mi           
payment-c6dc7c75b-7hqnw                          payment                   3m           107Mi           
product-catalog-7549dd8b9c-hx7cb                 product-catalog           2m           20Mi            
product-catalog-7549dd8b9c-lkccx                 product-catalog           1m           20Mi            
product-reviews-849fcc6db4-77p8w                 product-reviews           5m           1739Mi          
product-reviews-849fcc6db4-7d258                 product-reviews           5m           1731Mi          
prometheus-795bcb887b-wxr59                      prometheus-server         23m          1073Mi          
prometheus-adapter-cfff85f69-vqx42               prometheus-adapter        5m           34Mi            
quote-7df9d84b74-8sp5b                           quote                     1m           22Mi            
quote-7df9d84b74-mdtj6                           quote                     1m           22Mi            
recommendation-6fd8bfdbc7-rtzp5                  recommendation            11m          46Mi            
recommendation-6fd8bfdbc7-vkmjr                  recommendation            20m          51Mi            
shipping-9fc559856-dvpmt                         shipping                  1m           7Mi             
shipping-9fc559856-gqhrq                         shipping                  1m           5Mi             
techx-corp-kube-state-metrics-56c7fd85b9-65mrt   kube-state-metrics        2m           25Mi            
