NAME                                             READY   STATUS        RESTARTS       AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
accounting-557bc57548-s58nn                      1/1     Running       0              3h4m    10.0.19.69    ip-10-0-25-86.ec2.internal    <none>           <none>
ad-5cc6bb4459-5jklw                              1/1     Running       0              3h4m    10.0.27.72    ip-10-0-25-86.ec2.internal    <none>           <none>
ad-5cc6bb4459-pbxzx                              1/1     Running       0              3h1m    10.0.41.70    ip-10-0-32-149.ec2.internal   <none>           <none>
cart-95d67d4fb-48rdb                             1/1     Running       0              3h4m    10.0.19.70    ip-10-0-25-86.ec2.internal    <none>           <none>
cart-95d67d4fb-z4r2t                             1/1     Running       0              3h4m    10.0.41.79    ip-10-0-32-149.ec2.internal   <none>           <none>
checkout-68694bb9c-c7npl                         1/1     Running       0              3h4m    10.0.19.68    ip-10-0-25-86.ec2.internal    <none>           <none>
checkout-68694bb9c-kfflt                         1/1     Running       0              13m     10.0.26.3     ip-10-0-27-251.ec2.internal   <none>           <none>
checkout-68694bb9c-r95wc                         1/1     Running       0              3h4m    10.0.44.193   ip-10-0-32-149.ec2.internal   <none>           <none>
currency-789748bcd9-87cw7                        1/1     Running       0              3h4m    10.0.44.192   ip-10-0-32-149.ec2.internal   <none>           <none>
currency-789748bcd9-wzskq                        1/1     Running       0              3h4m    10.0.27.66    ip-10-0-25-86.ec2.internal    <none>           <none>
email-6855bfb778-f8cmx                           1/1     Running       3 (89s ago)    3h4m    10.0.26.10    ip-10-0-27-251.ec2.internal   <none>           <none>
email-6855bfb778-qjdgk                           1/1     Running       3 (110s ago)   3h4m    10.0.44.199   ip-10-0-32-149.ec2.internal   <none>           <none>
flagd-7d88655f44-n6lkw                           2/2     Running       0              3h4m    10.0.26.133   ip-10-0-27-114.ec2.internal   <none>           <none>
fraud-detection-7c5b9c9756-ch87g                 1/1     Running       0              3h4m    10.0.19.67    ip-10-0-25-86.ec2.internal    <none>           <none>
frontend-5f9ddcb8fc-54npq                        1/1     Running       0              3h3m    10.0.26.2     ip-10-0-27-251.ec2.internal   <none>           <none>
frontend-5f9ddcb8fc-558tp                        1/1     Running       0              3h4m    10.0.27.69    ip-10-0-25-86.ec2.internal    <none>           <none>
frontend-5f9ddcb8fc-5vvxl                        1/1     Running       0              3h1m    10.0.41.65    ip-10-0-32-149.ec2.internal   <none>           <none>
frontend-proxy-6465545dbf-tn2xt                  1/1     Running       0              3h4m    10.0.26.134   ip-10-0-27-114.ec2.internal   <none>           <none>
frontend-proxy-6465545dbf-vb7b9                  1/1     Running       0              3h4m    10.0.46.97    ip-10-0-36-4.ec2.internal     <none>           <none>
grafana-756df586d5-lnmqr                         2/2     Running       0              15h     10.0.40.13    ip-10-0-36-4.ec2.internal     <none>           <none>
image-provider-757b7797cf-kmtbx                  1/1     Running       0              3h4m    10.0.27.71    ip-10-0-25-86.ec2.internal    <none>           <none>
image-provider-757b7797cf-qxmqm                  1/1     Running       0              3h4m    10.0.44.197   ip-10-0-32-149.ec2.internal   <none>           <none>
jaeger-7d5bbc694-wtmp9                           1/1     Running       0              15h     10.0.30.100   ip-10-0-24-114.ec2.internal   <none>           <none>
llm-64ffcd6fb7-bfdvt                             1/1     Running       0              3h4m    10.0.28.36    ip-10-0-28-116.ec2.internal   <none>           <none>
load-generator-88fd8896c-6flbf                   1/1     Running       0              3h4m    10.0.26.128   ip-10-0-27-114.ec2.internal   <none>           <none>
load-generator-worker-58589b7c6b-fnppc           1/1     Terminating   0              14m     10.0.28.37    ip-10-0-28-116.ec2.internal   <none>           <none>
load-generator-worker-58589b7c6b-t5dtm           1/1     Running       0              3h3m    10.0.28.34    ip-10-0-28-116.ec2.internal   <none>           <none>
load-generator-worker-58589b7c6b-z44z9           1/1     Running       0              14m     10.0.28.35    ip-10-0-28-116.ec2.internal   <none>           <none>
