Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1673,0,10,15.369081291691865,6.142538000403874,221.8763000000763,11816.0,1.1711771126255877,0.0,10,12,13,14,18,27,110,130,220,220,220
GET,/api/cart,4993,0,7,9.71106329381474,4.384908000247378,220.05335500011824,24.0,3.4953301394737353,0.0,7,7,8,8,10,16,47,88,200,220,220
POST,/api/cart,10185,0,10,11.928961365341879,6.341171000258328,262.7151159999812,118.68325969563082,7.129969451339875,0.0,10,10,11,11,14,19,46,83,190,260,260
POST,/api/checkout,3313,5,47,59.02134219498838,33.34245100040789,1525.9248490001482,1667.7298520977965,2.319252704201179,0.0035002304621207046,47,61,65,69,83,110,160,200,660,1500,1500
GET,/api/data/,726,0,9,13.869839658406653,6.591193000076601,215.822831999958,202.01790633608815,0.5082334630999262,0.0,9,10,11,11,16,32,76,130,220,220,220
GET,/api/data/?contextKeys=accessories,728,0,10,17.027732791211683,6.857114000013098,1320.8719649996965,303.0,0.5096335552847746,0.0,10,10,11,12,17,31,89,120,1300,1300,1300
GET,/api/data/?contextKeys=assembly,698,0,10,16.392707671919087,6.844275000275957,1669.204450000052,89.0,0.4886321725120503,0.0,10,10,11,11,15,29,82,160,1700,1700,1700
GET,/api/data/?contextKeys=binoculars,734,0,9,14.168821738423828,6.518854999740142,814.9499649998688,83.0,0.5138338318393194,0.0,9,10,11,11,15,27,74,120,810,810,810
GET,/api/data/?contextKeys=books,719,0,10,21.824996432538843,6.859427000108553,2116.8854539996573,201.40751043115438,0.5033331404529573,0.0,10,11,11,12,17,51,120,160,2100,2100,2100
GET,/api/data/?contextKeys=telescopes,744,0,10,17.258851887098682,6.865314000151557,2108.8239010000507,106.0,0.5208342927635609,0.0,10,10,11,11,15,33,110,140,2100,2100,2100
GET,/api/data/?contextKeys=travel,767,1,10,14.413218786184173,6.872210999972594,986.8750880000334,128.85919165580182,0.536935352889316,0.0007000460924241409,10,10,11,11,14,23,64,100,990,990,990
GET,/api/product-reviews/0PUK6V6EV0,344,0,32,41.05966686918871,27.31745599999158,302.1986519997881,1038.0,0.24081585579390447,0.0,32,34,35,37,48,96,190,230,300,300,300
GET,/api/product-reviews/1YMWWN1N4O,325,0,32,40.8071124338522,27.49354499974288,280.7571610001105,1073.0,0.2275149800378458,0.0,32,34,35,37,50,92,160,190,280,280,280
GET,/api/product-reviews/2ZYFJ3GM2N,355,0,32,38.87237372394812,26.9632949998595,206.01082600001064,1049.0,0.24851636281057002,0.0,32,34,35,36,44,74,130,170,210,210,210
GET,/api/product-reviews/66VCHSJNUP,323,0,32,39.37633575850846,27.982357000382763,437.2743679998621,1043.0,0.2261148878529975,0.0,32,33,35,37,45,74,130,170,440,440,440
GET,/api/product-reviews/6E92ZMYYFZ,364,0,32,38.24889219231409,27.870216999872355,233.19202099992253,1076.0,0.2548167776423873,0.0,32,33,35,36,42,65,140,190,230,230,230
GET,/api/product-reviews/9SIQT8TOJO,343,0,32,39.22001274927212,27.149359999839362,320.7529659998727,1060.0,0.24011580970148033,0.0,32,33,35,36,42,70,160,180,320,320,320
GET,/api/product-reviews/HQTGWGPNH4,348,0,32,39.606255574712065,27.485432000048604,202.21850099983385,1081.0,0.24361604016360103,0.0,32,34,36,38,49,86,140,180,200,200,200
GET,/api/product-reviews/L9ECAV7KIM,298,0,32,39.35670880201579,27.25025299992012,268.0448520000027,993.0,0.20861373554239399,0.0,32,33,34,35,44,82,120,260,270,270,270
GET,/api/product-reviews/LS4PSXUNUM,353,0,32,38.1523908696914,27.90919400013081,234.14224099997227,1060.0,0.24711627062572172,0.0,32,34,35,36,42,82,100,160,230,230,230
GET,/api/product-reviews/OLJCESPC7Z,348,0,32,40.2031464339242,27.671149000070727,248.3480209998561,1060.0,0.24361604016360103,0.0,32,34,35,36,44,96,160,210,250,250,250
GET,/api/products/0PUK6V6EV0,2659,1,7,10.669894212110641,3.1151719999797933,262.3114789998908,420.87739751786387,1.8614225597557905,0.0007000460924241409,7,8,8,9,11,19,65,110,190,260,260
GET,/api/products/1YMWWN1N4O,2724,0,7,10.8286706868618,4.195838999748958,225.90656800002762,888.0,1.9069255557633598,0.0,7,8,8,9,11,21,69,110,210,230,230
GET,/api/products/2ZYFJ3GM2N,2787,0,7,10.055056121638216,4.361890999916795,190.3890160001538,556.0,1.9510284595860805,0.0,7,8,8,8,11,17,56,93,140,190,190
GET,/api/products/66VCHSJNUP,2601,0,7,10.26695222145426,4.239110000071378,233.00532300004306,494.0,1.8208198863951903,0.0,7,8,8,9,11,18,55,98,190,230,230
