NAME                                             CPU(cores)   MEMORY(bytes)   
accounting-69d676466f-f8rm9                      23m          169Mi           
ad-7998665c4b-btnwx                              13m          246Mi           
ad-7998665c4b-f79c2                              3m           216Mi           
cart-6cbfb749cf-ft5cb                            30m          68Mi            
cart-6cbfb749cf-ft74l                            2m           50Mi            
cart-6cbfb749cf-xf8fp                            4m           63Mi            
checkout-5f59884d8-9nlwh                         14m          21Mi            
checkout-5f59884d8-jbwkj                         7m           17Mi            
checkout-5f59884d8-nbhs8                         3m           14Mi            
checkout-5f59884d8-slckn                         3m           17Mi            
currency-54d784bd7b-s94g8                        10m          4Mi             
currency-54d784bd7b-swmnl                        3m           7Mi             
email-746cdfc565-ptpxd                           3m           56Mi            
email-746cdfc565-s9dpt                           16m          56Mi            
flagd-5c4bf98f49-gxxqp                           22m          183Mi           
fraud-detection-77c7dcbd77-mptzn                 12m          268Mi           
frontend-75c8585d46-7kfzl                        65m          118Mi           
frontend-75c8585d46-jrlrs                        124m         109Mi           
frontend-75c8585d46-wfwb7                        45m          82Mi            
frontend-proxy-554895c9dd-c77ck                  28m          22Mi            
frontend-proxy-554895c9dd-jhfj6                  31m          24Mi            
grafana-756df586d5-lnmqr                         13m          611Mi           
image-provider-7754b8cf54-fg77s                  1m           5Mi             
image-provider-7754b8cf54-thzdg                  1m           8Mi             
jaeger-7d5bbc694-5q9xj                           10m          417Mi           
llm-558c7745db-285pv                             8m           72Mi            
load-generator-6f8d94d894-fwss4                  6m           67Mi            
load-generator-worker-cdc7df7c5-9g8l5            65m          78Mi            
load-generator-worker-cdc7df7c5-jn2lx            72m          80Mi            
metrics-server-56f6f67555-zcd64                  5m           25Mi            
opensearch-0                                     33m          731Mi           
otel-collector-agent-246dl                       18m          112Mi           
otel-collector-agent-4xbkd                       18m          110Mi           
otel-collector-agent-5c5fq                       5m           91Mi            
otel-collector-agent-5lrtg                       14m          99Mi            
otel-collector-agent-5w9pk                       7m           99Mi            
otel-collector-agent-rh5bv                       2m           63Mi            
otel-collector-agent-x7l6h                       16m          88Mi            
payment-6cb6c5999c-qsdxp                         4m           87Mi            
payment-6cb6c5999c-txbrb                         20m          106Mi           
product-catalog-d84f55998-hztl5                  44m          16Mi            
product-catalog-d84f55998-lj7c2                  8m           13Mi            
product-reviews-58686f5fd9-dqgt6                 43m          1727Mi          
product-reviews-58686f5fd9-nxxlk                 4m           1715Mi          
prometheus-795bcb887b-vt6xv                      47m          1269Mi          
prometheus-adapter-cfff85f69-mbr8q               4m           37Mi            
quote-6f568d756c-8xn5s                           3m           24Mi            
quote-6f568d756c-hsq69                           3m           18Mi            
recommendation-5f65666784-625mf                  7m           41Mi            
recommendation-5f65666784-ksxkg                  29m          49Mi            
shipping-567ccf6f47-bkcxx                        1m           3Mi             
shipping-567ccf6f47-lxbdp                        3m           3Mi             
shopping-copilot-b4b49f685-xfx95                 2m           1858Mi          
techx-corp-kube-state-metrics-56c7fd85b9-dvx4r   3m           27Mi            
