NAME                                             CPU(cores)   MEMORY(bytes)   
accounting-69d676466f-f8rm9                      3m           164Mi           
ad-7998665c4b-7h724                              2m           237Mi           
ad-7998665c4b-btnwx                              2m           227Mi           
cart-6cbfb749cf-ft5cb                            3m           64Mi            
cart-6cbfb749cf-zm2vk                            2m           62Mi            
checkout-5f59884d8-9nlwh                         3m           17Mi            
checkout-5f59884d8-n7bbc                         3m           16Mi            
currency-54d784bd7b-h9ss9                        1m           3Mi             
currency-54d784bd7b-s94g8                        1m           4Mi             
email-746cdfc565-85dmv                           1m           45Mi            
email-746cdfc565-s9dpt                           1m           54Mi            
flagd-5c4bf98f49-gxxqp                           2m           168Mi           
fraud-detection-77c7dcbd77-mptzn                 4m           247Mi           
frontend-75c8585d46-7kfzl                        5m           103Mi           
frontend-75c8585d46-glxdb                        5m           89Mi            
frontend-75c8585d46-jrlrs                        6m           93Mi            
frontend-proxy-554895c9dd-c77ck                  7m           19Mi            
frontend-proxy-554895c9dd-jhfj6                  10m          19Mi            
grafana-756df586d5-lnmqr                         23m          589Mi           
image-provider-7754b8cf54-96rph                  1m           5Mi             
image-provider-7754b8cf54-fg77s                  1m           5Mi             
jaeger-7d5bbc694-5q9xj                           2m           233Mi           
llm-558c7745db-285pv                             8m           73Mi            
load-generator-6f8d94d894-fwss4                  5m           65Mi            
load-generator-worker-cdc7df7c5-9g8l5            3m           58Mi            
metrics-server-56f6f67555-zcd64                  6m           26Mi            
opensearch-0                                     19m          711Mi           
otel-collector-agent-246dl                       6m           107Mi           
otel-collector-agent-4xbkd                       7m           106Mi           
otel-collector-agent-5c5fq                       3m           70Mi            
otel-collector-agent-5lrtg                       4m           89Mi            
otel-collector-agent-x7l6h                       6m           94Mi            
otel-collector-agent-xvzg9                       7m           104Mi           
payment-6cb6c5999c-txbrb                         3m           94Mi            
payment-6cb6c5999c-vt8jv                         6m           96Mi            
product-catalog-d84f55998-hp862                  1m           12Mi            
product-catalog-d84f55998-hztl5                  1m           14Mi            
product-reviews-58686f5fd9-dqgt6                 4m           1722Mi          
product-reviews-58686f5fd9-n2dhb                 5m           1733Mi          
prometheus-795bcb887b-vt6xv                      33m          1264Mi          
prometheus-adapter-cfff85f69-mbr8q               7m           39Mi            
quote-6f568d756c-8xn5s                           1m           21Mi            
quote-6f568d756c-gw9n4                           1m           16Mi            
recommendation-5f65666784-bvw2n                  11m          41Mi            
recommendation-5f65666784-ksxkg                  4m           46Mi            
shipping-567ccf6f47-jcxb4                        1m           2Mi             
shipping-567ccf6f47-lxbdp                        1m           3Mi             
shopping-copilot-b4b49f685-xfx95                 2m           1864Mi          
techx-corp-kube-state-metrics-56c7fd85b9-dvx4r   2m           26Mi            
