LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
56m         Normal    Killing                pod/load-generator-worker-cdc7df7c5-5mdlq        Stopping container load-generator-worker
56m         Normal    ScalingReplicaSet      deployment/load-generator-worker                 Scaled down replica set load-generator-worker-cdc7df7c5 from 3 to 1
56m         Normal    SuccessfulRescale      horizontalpodautoscaler/load-generator-worker    New size: 1; reason: All metrics below target
56m         Normal    SuccessfulDelete       replicaset/load-generator-worker-cdc7df7c5       Deleted pod: load-generator-worker-cdc7df7c5-5mdlq
56m         Normal    SuccessfulDelete       replicaset/load-generator-worker-cdc7df7c5       Deleted pod: load-generator-worker-cdc7df7c5-c5df6
56m         Normal    Killing                pod/load-generator-worker-cdc7df7c5-c5df6        Stopping container load-generator-worker
29m         Normal    Scheduled              pod/load-generator-worker-cdc7df7c5-8zbbt        Successfully assigned techx-corp-prod/load-generator-worker-cdc7df7c5-8zbbt to ip-10-0-26-151.ec2.internal
29m         Normal    ScalingReplicaSet      deployment/load-generator-worker                 Scaled up replica set load-generator-worker-cdc7df7c5 from 1 to 3
29m         Normal    Scheduled              pod/load-generator-worker-cdc7df7c5-25ggg        Successfully assigned techx-corp-prod/load-generator-worker-cdc7df7c5-25ggg to ip-10-0-26-151.ec2.internal
29m         Normal    SuccessfulRescale      horizontalpodautoscaler/load-generator-worker    New size: 3; reason: cpu resource utilization (percentage of request) above target
29m         Normal    SuccessfulCreate       replicaset/load-generator-worker-cdc7df7c5       Created pod: load-generator-worker-cdc7df7c5-8zbbt
29m         Normal    SuccessfulCreate       replicaset/load-generator-worker-cdc7df7c5       Created pod: load-generator-worker-cdc7df7c5-25ggg
29m         Normal    Pulled                 pod/load-generator-worker-cdc7df7c5-8zbbt        Container image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/load-generator:sha-fa6cb8f" already present on machine and can be accessed by the pod
29m         Normal    Pulled                 pod/load-generator-worker-cdc7df7c5-25ggg        Container image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/load-generator:sha-fa6cb8f" already present on machine and can be accessed by the pod
29m         Normal    Created                pod/load-generator-worker-cdc7df7c5-25ggg        Container created
29m         Normal    Started                pod/load-generator-worker-cdc7df7c5-25ggg        Container started
29m         Normal    Started                pod/load-generator-worker-cdc7df7c5-8zbbt        Container started
29m         Normal    Created                pod/load-generator-worker-cdc7df7c5-8zbbt        Container created
28m         Normal    Created                pod/checkout-5f59884d8-cp6zh                     Container created
28m         Normal    SuccessfulRescale      horizontalpodautoscaler/checkout                 New size: 3; reason: cpu resource utilization (percentage of request) above target
28m         Normal    ScalingReplicaSet      deployment/checkout                              Scaled up replica set checkout-5f59884d8 from 2 to 3
28m         Normal    Scheduled              pod/checkout-5f59884d8-cp6zh                     Successfully assigned techx-corp-prod/checkout-5f59884d8-cp6zh to ip-10-0-36-190.ec2.internal
28m         Normal    Pulled                 pod/checkout-5f59884d8-cp6zh                     Container image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/checkout:sha-fa6cb8f" already present on machine and can be accessed by the pod
28m         Normal    Started                pod/checkout-5f59884d8-cp6zh                     Container started
28m         Normal    SuccessfulCreate       replicaset/checkout-5f59884d8                    Created pod: checkout-5f59884d8-cp6zh
28m         Normal    SuccessfulCreate       job/runtime-hardening-inventory-29742110         Created pod: runtime-hardening-inventory-29742110-f256j
28m         Normal    SuccessfulCreate       cronjob/runtime-hardening-inventory              Created job runtime-hardening-inventory-29742110
28m         Normal    Scheduled              pod/runtime-hardening-inventory-29742110-f256j   Successfully assigned techx-corp-prod/runtime-hardening-inventory-29742110-f256j to ip-10-0-36-4.ec2.internal
28m         Normal    Pulling                pod/runtime-hardening-inventory-29742110-f256j   Pulling image "public.ecr.aws/docker/library/python:3.13.5-alpine3.22"
28m         Normal    Pulled                 pod/runtime-hardening-inventory-29742110-f256j   Successfully pulled image "public.ecr.aws/docker/library/python:3.13.5-alpine3.22" in 1.682s (1.682s including waiting). Image size: 17152616 bytes.
28m         Normal    SuccessfulCreate       replicaset/load-generator-worker-cdc7df7c5       Created pod: load-generator-worker-cdc7df7c5-78d9m
28m         Normal    SuccessfulRescale      horizontalpodautoscaler/load-generator-worker    New size: 5; reason: cpu resource utilization (percentage of request) above target
28m         Normal    Scheduled              pod/load-generator-worker-cdc7df7c5-78d9m        Successfully assigned techx-corp-prod/load-generator-worker-cdc7df7c5-78d9m to ip-10-0-26-151.ec2.internal
28m         Normal    Created                pod/runtime-hardening-inventory-29742110-f256j   Container created
28m         Normal    Started                pod/runtime-hardening-inventory-29742110-f256j   Container started
28m         Normal    Scheduled              pod/load-generator-worker-cdc7df7c5-9qnsc        Successfully assigned techx-corp-prod/load-generator-worker-cdc7df7c5-9qnsc to ip-10-0-26-151.ec2.internal
28m         Normal    ScalingReplicaSet      deployment/load-generator-worker                 Scaled up replica set load-generator-worker-cdc7df7c5 from 3 to 5
28m         Normal    SuccessfulCreate       replicaset/load-generator-worker-cdc7df7c5       Created pod: load-generator-worker-cdc7df7c5-9qnsc
28m         Normal    Started                pod/load-generator-worker-cdc7df7c5-9qnsc        Container started
28m         Normal    Pulled                 pod/load-generator-worker-cdc7df7c5-9qnsc        Container image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/load-generator:sha-fa6cb8f" already present on machine and can be accessed by the pod
28m         Normal    Started                pod/load-generator-worker-cdc7df7c5-78d9m        Container started
28m         Normal    Created                pod/load-generator-worker-cdc7df7c5-9qnsc        Container created
28m         Normal    Created                pod/load-generator-worker-cdc7df7c5-78d9m        Container created
28m         Normal    Pulled                 pod/load-generator-worker-cdc7df7c5-78d9m        Container image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/load-generator:sha-fa6cb8f" already present on machine and can be accessed by the pod
28m         Normal    ScalingReplicaSet      deployment/checkout                              Scaled up replica set checkout-5f59884d8 from 3 to 4
28m         Warning   FailedScheduling       pod/checkout-5f59884d8-c2dbn                     0/6 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/6 nodes are available: 2 Preemption is not helpful for scheduling, 4 No preemption victims found for incoming pod.
28m         Normal    SuccessfulRescale      horizontalpodautoscaler/checkout                 New size: 4; reason: cpu resource utilization (percentage of request) above target
28m         Normal    SuccessfulCreate       replicaset/checkout-5f59884d8                    Created pod: checkout-5f59884d8-c2dbn
28m         Normal    SawCompletedJob        cronjob/runtime-hardening-inventory              Saw completed job: runtime-hardening-inventory-29742110, condition: Failed
28m         Normal    Nominated              pod/checkout-5f59884d8-c2dbn                     Pod should schedule on: nodeclaim/stateless-spot-mcwmq
28m         Warning   BackoffLimitExceeded   job/runtime-hardening-inventory-29742110         Job has reached the specified backoff limit
28m         Normal    NotTriggerScaleUp      pod/checkout-5f59884d8-c2dbn                     pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
28m         Normal    ScalingReplicaSet      deployment/cart                                  Scaled up replica set cart-6cbfb749cf from 2 to 3
28m         Normal    SuccessfulRescale      horizontalpodautoscaler/cart                     New size: 3; reason: cpu resource utilization (percentage of request) above target
28m         Normal    SuccessfulCreate       replicaset/cart-6cbfb749cf                       Created pod: cart-6cbfb749cf-bw56q
28m         Normal    Scheduled              pod/cart-6cbfb749cf-bw56q                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-bw56q to ip-10-0-36-190.ec2.internal
28m         Normal    Created                pod/cart-6cbfb749cf-bw56q                        Container created
28m         Normal    Started                pod/cart-6cbfb749cf-bw56q                        Container started
28m         Normal    Pulling                pod/cart-6cbfb749cf-bw56q                        Pulling image "busybox:1.37.0"
28m         Normal    Pulled                 pod/cart-6cbfb749cf-bw56q                        Successfully pulled image "busybox:1.37.0" in 145ms (145ms including waiting). Image size: 1911349 bytes.
