Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2113,0,11,14.910695769528308,6.283837999944808,206.84731700021075,11816.0,1.4331413300227547,0.0,11,12,13,14,18,32,77,110,180,210,210
GET,/api/cart,6077,0,7,10.393466830185192,4.566010999951686,217.15890400037097,24.0,4.121722604140218,0.0,7,8,8,9,11,22,58,84,180,220,220
POST,/api/cart,11940,0,10,13.819596765998474,6.586800999684783,291.2229449998449,118.0391959798995,8.09829980145371,0.0,10,11,12,12,16,30,74,96,220,270,290
POST,/api/checkout,3928,1,47,59.59107271461448,32.367762999911065,1280.5465589999585,1655.100050916497,2.6641642897914717,0.0006782495646108635,47,60,66,70,88,120,170,200,400,1300,1300
GET,/api/data/,820,0,10,12.510894156102173,6.66186300031768,267.645960000209,202.49024390243903,0.5561646429809081,0.0,10,11,11,12,15,24,48,68,270,270,270
GET,/api/data/?contextKeys=accessories,944,0,10,13.738551986223055,6.958658000257856,168.73981700018703,303.0,0.6402675889926551,0.0,10,11,12,12,16,33,66,84,170,170,170
GET,/api/data/?contextKeys=assembly,867,0,10,12.42625852710094,7.253270000092016,171.3068160001967,89.0,0.5880423725176187,0.0,10,11,12,12,14,19,38,71,170,170,170
GET,/api/data/?contextKeys=binoculars,868,0,10,14.12256466474756,6.7246540002088295,228.76648100009334,83.0,0.5887206220822295,0.0,10,11,12,12,17,36,78,95,230,230,230
GET,/api/data/?contextKeys=books,904,0,10,14.009640448007625,6.677017000129126,205.59406699976535,202.79424778761063,0.6131376064082206,0.0,10,11,12,12,15,29,68,100,210,210,210
GET,/api/data/?contextKeys=telescopes,846,0,10,13.5372629740149,7.201969000107056,164.66815799958567,106.0,0.5737991316607906,0.0,10,11,12,12,16,27,60,92,160,160,160
GET,/api/data/?contextKeys=travel,871,0,10,13.69633504248383,6.96358400000463,214.59913199987568,129.0,0.5907553707760621,0.0,10,11,12,12,16,30,65,87,210,210,210
