NAME                                             CPU(cores)   MEMORY(bytes)   
accounting-69d676466f-vzjgh                      6m           160Mi           
ad-7998665c4b-f79c2                              2m           242Mi           
ad-7998665c4b-g5hc8                              2m           216Mi           
cart-6cbfb749cf-4wr9p                            2m           50Mi            
cart-6cbfb749cf-bw56q                            2m           61Mi            
cart-6cbfb749cf-dxs96                            1m           60Mi            
cart-6cbfb749cf-h4dbf                            3m           61Mi            
cart-6cbfb749cf-xf8fp                            5m           70Mi            
checkout-5f59884d8-6dch5                         2m           13Mi            
checkout-5f59884d8-cp6zh                         3m           17Mi            
checkout-5f59884d8-ltz7v                         3m           17Mi            
checkout-5f59884d8-slckn                         4m           22Mi            
checkout-5f59884d8-xn9jj                         3m           16Mi            
currency-54d784bd7b-mjrtn                        2m           2Mi             
currency-54d784bd7b-swmnl                        1m           7Mi             
email-746cdfc565-59xwn                           1m           51Mi            
email-746cdfc565-ptpxd                           2m           58Mi            
flagd-5c4bf98f49-gxxqp                           4m           184Mi           
fraud-detection-77c7dcbd77-mptzn                 4m           273Mi           
frontend-75c8585d46-jrlrs                        8m           117Mi           
frontend-75c8585d46-k6927                        3m           94Mi            
frontend-75c8585d46-wfwb7                        11m          84Mi            
frontend-proxy-554895c9dd-c77ck                  8m           23Mi            
frontend-proxy-554895c9dd-jhfj6                  11m          26Mi            
grafana-756df586d5-lnmqr                         22m          531Mi           
image-provider-7754b8cf54-fg77s                  1m           7Mi             
image-provider-7754b8cf54-thzdg                  1m           8Mi             
jaeger-7d5bbc694-5q9xj                           3m           417Mi           
llm-558c7745db-xgmc4                             9m           83Mi            
load-generator-6f8d94d894-fwss4                  9m           67Mi            
load-generator-worker-cdc7df7c5-22xp6            9m           88Mi            
load-generator-worker-cdc7df7c5-25ggg            1m           70Mi            
load-generator-worker-cdc7df7c5-8zbbt            1m           70Mi            
metrics-server-56f6f67555-zcd64                  6m           26Mi            
opensearch-0                                     38m          772Mi           
otel-collector-agent-4xbkd                       10m          111Mi           
otel-collector-agent-5lrtg                       6m           101Mi           
otel-collector-agent-5w9pk                       8m           94Mi            
otel-collector-agent-6q48k                       4m           95Mi            
otel-collector-agent-dh55r                       4m           79Mi            
otel-collector-agent-lsrlv                       4m           91Mi            
otel-collector-agent-rh5bv                       4m           97Mi            
otel-collector-agent-x7l6h                       5m           91Mi            
otel-collector-agent-zccmp                       4m           89Mi            
payment-6cb6c5999c-qsdxp                         5m           107Mi           
payment-6cb6c5999c-txbrb                         3m           111Mi           
product-catalog-d84f55998-hztl5                  3m           15Mi            
product-catalog-d84f55998-lj7c2                  3m           13Mi            
product-reviews-58686f5fd9-nxxlk                 5m           1727Mi          
product-reviews-58686f5fd9-p8snq                 3m           1733Mi          
prometheus-795bcb887b-vt6xv                      29m          1672Mi          
prometheus-adapter-cfff85f69-mbr8q               9m           34Mi            
quote-6f568d756c-8xn5s                           1m           24Mi            
quote-6f568d756c-hsq69                           1m           20Mi            
recommendation-5f65666784-625mf                  8m           45Mi            
recommendation-5f65666784-ksxkg                  5m           49Mi            
shipping-567ccf6f47-bkcxx                        1m           4Mi             
shipping-567ccf6f47-jpz6z                        1m           3Mi             
shopping-copilot-b4b49f685-h9m8g                 2m           1781Mi          
techx-corp-kube-state-metrics-56c7fd85b9-dvx4r   4m           28Mi            
