NAME                                             CPU(cores)   MEMORY(bytes)   
accounting-69d676466f-f8rm9                      3m           169Mi           
ad-7998665c4b-btnwx                              3m           250Mi           
ad-7998665c4b-f79c2                              2m           227Mi           
cart-6cbfb749cf-ft5cb                            2m           71Mi            
cart-6cbfb749cf-xf8fp                            2m           66Mi            
checkout-5f59884d8-9nlwh                         3m           18Mi            
checkout-5f59884d8-slckn                         3m           17Mi            
currency-54d784bd7b-s94g8                        1m           4Mi             
currency-54d784bd7b-swmnl                        1m           7Mi             
email-746cdfc565-ptpxd                           1m           59Mi            
email-746cdfc565-s9dpt                           1m           52Mi            
flagd-5c4bf98f49-gxxqp                           2m           168Mi           
fraud-detection-77c7dcbd77-mptzn                 4m           270Mi           
frontend-75c8585d46-7kfzl                        7m           121Mi           
frontend-75c8585d46-jrlrs                        4m           98Mi            
frontend-75c8585d46-wfwb7                        3m           84Mi            
frontend-proxy-554895c9dd-c77ck                  7m           21Mi            
frontend-proxy-554895c9dd-jhfj6                  9m           23Mi            
grafana-756df586d5-lnmqr                         11m          682Mi           
image-provider-7754b8cf54-fg77s                  1m           5Mi             
image-provider-7754b8cf54-thzdg                  1m           8Mi             
jaeger-7d5bbc694-5q9xj                           2m           158Mi           
llm-558c7745db-xgmc4                             8m           86Mi            
load-generator-6f8d94d894-fwss4                  3m           67Mi            
load-generator-worker-cdc7df7c5-22xp6            1m           67Mi            
metrics-server-56f6f67555-zcd64                  5m           26Mi            
opensearch-0                                     20m          752Mi           
otel-collector-agent-246dl                       4m           118Mi           
otel-collector-agent-4xbkd                       7m           109Mi           
otel-collector-agent-5lrtg                       4m           89Mi            
otel-collector-agent-5w9pk                       5m           107Mi           
otel-collector-agent-rh5bv                       2m           79Mi            
otel-collector-agent-x7l6h                       6m           87Mi            
payment-6cb6c5999c-qsdxp                         4m           96Mi            
payment-6cb6c5999c-txbrb                         4m           109Mi           
product-catalog-d84f55998-hztl5                  1m           14Mi            
product-catalog-d84f55998-lj7c2                  1m           12Mi            
product-reviews-58686f5fd9-dqgt6                 8m           1726Mi          
product-reviews-58686f5fd9-nxxlk                 4m           1716Mi          
prometheus-795bcb887b-vt6xv                      45m          1304Mi          
prometheus-adapter-cfff85f69-mbr8q               5m           37Mi            
quote-6f568d756c-8xn5s                           1m           24Mi            
quote-6f568d756c-hsq69                           1m           19Mi            
recommendation-5f65666784-625mf                  5m           41Mi            
recommendation-5f65666784-ksxkg                  8m           48Mi            
shipping-567ccf6f47-bkcxx                        1m           3Mi             
shipping-567ccf6f47-lxbdp                        1m           3Mi             
shopping-copilot-b4b49f685-h9m8g                 2m           1732Mi          
techx-corp-kube-state-metrics-56c7fd85b9-dvx4r   3m           27Mi            
