NAME                                             READY   STATUS    RESTARTS     AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
accounting-69d676466f-vzjgh                      1/1     Running   0            6m31s   10.0.19.181   ip-10-0-17-84.ec2.internal    <none>           <none>
ad-7998665c4b-f79c2                              1/1     Running   0            74m     10.0.19.154   ip-10-0-22-227.ec2.internal   <none>           <none>
ad-7998665c4b-g5hc8                              1/1     Running   0            17m     10.0.37.244   ip-10-0-40-214.ec2.internal   <none>           <none>
cart-6cbfb749cf-4wr9p                            1/1     Running   0            6m31s   10.0.19.179   ip-10-0-17-84.ec2.internal    <none>           <none>
cart-6cbfb749cf-bw56q                            1/1     Running   0            28m     10.0.45.113   ip-10-0-36-190.ec2.internal   <none>           <none>
cart-6cbfb749cf-dxs96                            1/1     Running   0            18m     10.0.37.243   ip-10-0-40-214.ec2.internal   <none>           <none>
cart-6cbfb749cf-h4dbf                            1/1     Running   0            7m28s   10.0.44.83    ip-10-0-38-109.ec2.internal   <none>           <none>
cart-6cbfb749cf-xf8fp                            1/1     Running   0            94m     10.0.19.147   ip-10-0-22-227.ec2.internal   <none>           <none>
checkout-5f59884d8-6dch5                         1/1     Running   0            6m31s   10.0.44.84    ip-10-0-38-109.ec2.internal   <none>           <none>
checkout-5f59884d8-cp6zh                         1/1     Running   0            28m     10.0.45.120   ip-10-0-36-190.ec2.internal   <none>           <none>
checkout-5f59884d8-ltz7v                         1/1     Running   0            17m     10.0.37.245   ip-10-0-40-214.ec2.internal   <none>           <none>
checkout-5f59884d8-slckn                         1/1     Running   0            94m     10.0.19.145   ip-10-0-22-227.ec2.internal   <none>           <none>
checkout-5f59884d8-xn9jj                         1/1     Running   0            7m28s   10.0.19.180   ip-10-0-17-84.ec2.internal    <none>           <none>
currency-54d784bd7b-mjrtn                        1/1     Running   0            17m     10.0.37.65    ip-10-0-40-214.ec2.internal   <none>           <none>
currency-54d784bd7b-swmnl                        1/1     Running   0            75m     10.0.20.145   ip-10-0-22-227.ec2.internal   <none>           <none>
email-746cdfc565-59xwn                           1/1     Running   0            17m     10.0.37.64    ip-10-0-40-214.ec2.internal   <none>           <none>
email-746cdfc565-ptpxd                           1/1     Running   0            75m     10.0.19.149   ip-10-0-22-227.ec2.internal   <none>           <none>
flagd-5c4bf98f49-gxxqp                           2/2     Running   0            116m    10.0.46.107   ip-10-0-36-4.ec2.internal     <none>           <none>
fraud-detection-77c7dcbd77-mptzn                 1/1     Running   0            116m    10.0.45.121   ip-10-0-36-190.ec2.internal   <none>           <none>
