Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3795,0,8,10.744401113566825,5.494517999977688,247.44109599851072,11816.0,2.3391356763223876,0.0,8,9,9,10,13,20,53,87,160,250,250
GET,/api/cart,11312,0,6,7.791210605189459,3.7642030001734383,175.70268499912345,24.0,6.972411797248708,0.0,6,6,6,7,8,13,39,68,130,170,180
POST,/api/cart,23018,0,8,9.918624332651662,5.335273999662604,199.15699000011955,118.5195499174559,14.187674571169621,0.0,8,9,9,10,12,16,30,57,120,170,200
POST,/api/checkout,7719,0,40,50.0668274698787,28.48476200051664,301.4221859993995,1651.0086798808136,4.757783474448619,0.0,40,52,57,60,76,100,130,150,250,300,300
GET,/api/data/,1655,0,7,9.906257890625634,5.26674200045818,132.49903500036453,202.4821752265861,1.0200973766307118,0.0,7,8,8,9,12,21,53,73,130,130,130
GET,/api/data/?contextKeys=accessories,1577,0,7,10.142440987325884,5.394107998654363,344.1204350001499,303.0,0.972020279726062,0.0,7,8,8,9,11,20,51,77,200,340,340
GET,/api/data/?contextKeys=assembly,1644,0,7,9.89197396226729,5.108154999106773,201.77529200009303,89.0,1.0133172732210818,0.0,7,8,8,9,11,18,52,76,170,200,200
GET,/api/data/?contextKeys=binoculars,1586,0,7,10.019094303884614,5.243419998805621,122.69340199964063,83.0,0.9775676370612139,0.0,7,8,8,9,11,18,62,84,120,120,120
GET,/api/data/?contextKeys=books,1615,0,7,9.91596423282824,5.076604000350926,233.1309279998095,202.22910216718267,0.9954424551411477,0.0,7,8,8,9,11,20,47,69,160,230,230
GET,/api/data/?contextKeys=telescopes,1597,0,7,9.734671543532205,5.203437000091071,179.23687499933294,106.0,0.984347740470844,0.0,7,8,8,9,11,17,48,84,160,180,180
GET,/api/data/?contextKeys=travel,1576,0,7,10.280142671950985,5.165932001546025,199.52815400029067,129.0,0.9714039066888228,0.0,7,8,8,9,12,21,59,80,180,200,200
